time,station,part,family,type,activity
279409613,PackStation,PZ_1010_5942,PZ,PZ_1010,ENTER
279418753,Freezer,PZ_1010_5948,PZ,PZ_1010,EXIT
279426165,Freezer,PZ_1010_5990,PZ,PZ_1010,ENTER
279429364,Oven,PZ_1010_6000,PZ,PZ_1010,ENTER
279430983,Oven,PZ_1010_5994,PZ,PZ_1010,EXIT
279449311,PackStation,PZ_1010_5943,PZ,PZ_1010,ENTER
279449652,PizzaSource,PZ_1010_6008,PZ,PZ_1010,EXIT
279449652,PizzaSource,PZ_1010_6009,PZ,PZ_1010,ENTER
279458750,Freezer,PZ_1010_5949,PZ,PZ_1010,EXIT
279465997,Freezer,PZ_1010_5991,PZ,PZ_1010,ENTER
279469479,Oven,PZ_1010_6001,PZ,PZ_1010,ENTER
279470984,Oven,PZ_1010_5995,PZ,PZ_1010,EXIT
279482385,PackStation,PACK_1010_001846,PACK,PACK_1010,EXIT_AP
279489311,PackStation,PZ_1010_5944,PZ,PZ_1010,ENTER
279489609,PizzaSource,PZ_1010_6009,PZ,PZ_1010,EXIT
279489609,PizzaSource,PZ_1010_6010,PZ,PZ_1010,ENTER
279498634,Freezer,PZ_1010_5950,PZ,PZ_1010,EXIT
279505975,Freezer,PZ_1010_5992,PZ,PZ_1010,ENTER
279509330,Oven,PZ_1010_6002,PZ,PZ_1010,ENTER
279511071,Oven,PZ_1010_5996,PZ,PZ_1010,EXIT
279521585,BoxStation,PACK_1010_001846,PACK,PACK_1010,ENTER
279524605,RefurbishedBoxWarehouse,BOX_000191,BOX,BOX,EXIT
279524605,BoxStation,BOX_000191,BOX,BOX,ENTER
279529320,PackStation,PZ_1010_5945,PZ,PZ_1010,ENTER
279529461,PizzaSource,PZ_1010_6010,PZ,PZ_1010,EXIT
279529461,PizzaSource,PZ_1010_6011,PZ,PZ_1010,ENTER
279538585,BoxStation,BOX_000191,BOX,BOX_1010,EXIT_AP
279538732,Freezer,PZ_1010_5951,PZ,PZ_1010,EXIT
279546135,Freezer,PZ_1010_5993,PZ,PZ_1010,ENTER
279549267,Oven,PZ_1010_6003,PZ,PZ_1010,ENTER
279551133,Oven,PZ_1010_5997,PZ,PZ_1010,EXIT
279554561,PalletStation,BOX_000191,BOX,BOX_1010,ENTER
279569327,PackStation,PZ_1010_5946,PZ,PZ_1010,ENTER
279569720,PizzaSource,PZ_1010_6011,PZ,PZ_1010,EXIT
279569720,PizzaSource,PZ_1010_6012,PZ,PZ_1010,ENTER
279578847,Freezer,PZ_1010_5952,PZ,PZ_1010,EXIT
279586022,Freezer,PZ_1010_5994,PZ,PZ_1010,ENTER
279589296,Oven,PZ_1010_6004,PZ,PZ_1010,ENTER
279590958,Oven,PZ_1010_5998,PZ,PZ_1010,EXIT
279609317,PackStation,PZ_1010_5947,PZ,PZ_1010,ENTER
279609543,PizzaSource,PZ_1010_6012,PZ,PZ_1010,EXIT
279609543,PizzaSource,PZ_1010_6013,PZ,PZ_1010,ENTER
279618725,Freezer,PZ_1010_5953,PZ,PZ_1010,EXIT
279626023,Freezer,PZ_1010_5995,PZ,PZ_1010,ENTER
279629265,Oven,PZ_1010_6005,PZ,PZ_1010,ENTER
279630894,Oven,PZ_1010_5999,PZ,PZ_1010,EXIT
279641819,PackStation,PACK_1010_001847,PACK,PACK_1010,EXIT_AP
279649352,PackStation,PZ_1010_5948,PZ,PZ_1010,ENTER
279649387,PizzaSource,PZ_1010_6013,PZ,PZ_1010,EXIT
279649387,PizzaSource,PZ_1010_6014,PZ,PZ_1010,ENTER
279658811,Freezer,PZ_1010_5954,PZ,PZ_1010,EXIT
279666110,Freezer,PZ_1010_5996,PZ,PZ_1010,ENTER
279669323,Oven,PZ_1010_6006,PZ,PZ_1010,ENTER
279671017,Oven,PZ_1010_6000,PZ,PZ_1010,EXIT
279681019,BoxStation,PACK_1010_001847,PACK,PACK_1010,ENTER
279689350,PackStation,PZ_1010_5949,PZ,PZ_1010,ENTER
279689690,PizzaSource,PZ_1010_6014,PZ,PZ_1010,EXIT
279689690,PizzaSource,PZ_1010_6015,PZ,PZ_1010,ENTER
279698932,Freezer,PZ_1010_5955,PZ,PZ_1010,EXIT
279706172,Freezer,PZ_1010_5997,PZ,PZ_1010,ENTER
279709305,Oven,PZ_1010_6007,PZ,PZ_1010,ENTER
279711132,Oven,PZ_1010_6001,PZ,PZ_1010,EXIT
279729234,PackStation,PZ_1010_5950,PZ,PZ_1010,ENTER
279729421,PizzaSource,PZ_1010_6015,PZ,PZ_1010,EXIT
279729421,PizzaSource,PZ_1010_6016,PZ,PZ_1010,ENTER
279738853,Freezer,PZ_1010_5956,PZ,PZ_1010,EXIT
279745998,Freezer,PZ_1010_5998,PZ,PZ_1010,ENTER
279749371,Oven,PZ_1010_6008,PZ,PZ_1010,ENTER
279750983,Oven,PZ_1010_6002,PZ,PZ_1010,EXIT
279769332,PackStation,PZ_1010_5951,PZ,PZ_1010,ENTER
279769703,PizzaSource,PZ_1010_6016,PZ,PZ_1010,EXIT
279769703,PizzaSource,PZ_1010_6017,PZ,PZ_1010,ENTER
279778777,Freezer,PZ_1010_5957,PZ,PZ_1010,EXIT
279785933,Freezer,PZ_1010_5999,PZ,PZ_1010,ENTER
279789328,Oven,PZ_1010_6009,PZ,PZ_1010,ENTER
279790920,Oven,PZ_1010_6003,PZ,PZ_1010,EXIT
279809447,PackStation,PZ_1010_5952,PZ,PZ_1010,ENTER
279809461,PizzaSource,PZ_1010_6017,PZ,PZ_1010,EXIT
279809461,PizzaSource,PZ_1010_6018,PZ,PZ_1010,ENTER
279810143,PackStation,PACK_1010_001848,PACK,PACK_1010,EXIT_AP
279818616,Freezer,PZ_1010_5958,PZ,PZ_1010,EXIT
279826056,Freezer,PZ_1010_6000,PZ,PZ_1010,ENTER
279829180,Oven,PZ_1010_6010,PZ,PZ_1010,ENTER
279830949,Oven,PZ_1010_6004,PZ,PZ_1010,EXIT
279849324,PackStation,PZ_1010_5953,PZ,PZ_1010,ENTER
279849343,BoxStation,PACK_1010_001848,PACK,PACK_1010,ENTER
279849625,PizzaSource,PZ_1010_6018,PZ,PZ_1010,EXIT
279849625,PizzaSource,PZ_1010_6019,PZ,PZ_1010,ENTER
