time,unit,station,part,family,type,activity
1681220,ms,PackStation,PACK_1030_000180,PACK,PACK_1030,EXIT_AP
1681930,ms,PackStation,PZ_1030_759,PZ,PZ_1030,ENTER
1682050,ms,PackStation,PZ_1030_760,PZ,PZ_1030,ENTER
1682110,ms,Oven,PZ_1030_776,PZ,PZ_1030,ENTER
1682220,ms,PackStation,PZ_1030_761,PZ,PZ_1030,ENTER
1682580,ms,Oven,PZ_1030_775,PZ,PZ_1030,EXIT
1682650,ms,Freezer,PZ_1030_774,PZ,PZ_1030,ENTER
1683040,ms,Freezer,PZ_1030_764,PZ,PZ_1030,EXIT
1683180,ms,PizzaSource,PZ_1030_779,PZ,PZ_1030,EXIT
1683180,ms,PizzaSource,PZ_1030_780,PZ,PZ_1030,ENTER
1683680,ms,PackStation,PZ_1030_763,PZ,PZ_1030,ENTER
1684140,ms,Oven,PZ_1030_778,PZ,PZ_1030,ENTER
1684530,ms,Oven,PZ_1030_776,PZ,PZ_1030,EXIT
1684660,ms,Freezer,PZ_1030_775,PZ,PZ_1030,ENTER
1685010,ms,Freezer,PZ_1030_765,PZ,PZ_1030,EXIT
1685140,ms,PizzaSource,PZ_1030_780,PZ,PZ_1030,EXIT
1685140,ms,PizzaSource,PZ_1030_782,PZ,PZ_1030,ENTER
1685840,ms,BoxStation,BOX_1030_000058,BOX,BOX_1030,EXIT_AP
1686180,ms,Oven,PZ_1030_779,PZ,PZ_1030,ENTER
1686560,ms,Oven,PZ_1030_778,PZ,PZ_1030,EXIT
1686610,ms,Freezer,PZ_1030_776,PZ,PZ_1030,ENTER
1686660,ms,BoxStation,PACK_1030_000180,PACK,PACK_1030,ENTER
1686980,ms,Freezer,PZ_1030_766,PZ,PZ_1030,EXIT
1687180,ms,PizzaSource,PZ_1030_782,PZ,PZ_1030,EXIT
1687180,ms,PizzaSource,PZ_1030_784,PZ,PZ_1030,ENTER
1688000,ms,PalletSource,PAL_000006,PAL,PAL,EXIT
1688000,ms,PalletSource,PAL_000007,PAL,PAL,ENTER
1688020,ms,PalletStation,PAL_000005,PAL,PAL,ENTER
1688140,ms,Oven,PZ_1030_780,PZ,PZ_1030,ENTER
1688370,ms,PalletStation,PAL_000005,PAL,PAL,EXIT_AP
1688600,ms,Oven,PZ_1030_779,PZ,PZ_1030,EXIT
1688640,ms,Freezer,PZ_1030_778,PZ,PZ_1030,ENTER
1688980,ms,Freezer,PZ_1030_768,PZ,PZ_1030,EXIT
1689150,ms,PizzaSource,PZ_1030_784,PZ,PZ_1030,EXIT
1689150,ms,PizzaSource,PZ_1030_786,PZ,PZ_1030,ENTER
1689770,ms,PackStation,PACK_1030_000181,PACK,PACK_1030,EXIT_AP
1690180,ms,Oven,PZ_1030_782,PZ,PZ_1030,ENTER
1690430,ms,Warehouse,PAL_000005,PAL,PAL,ENTER
1690480,ms,PackStation,PZ_1030_764,PZ,PZ_1030,ENTER
1690550,ms,Oven,PZ_1030_780,PZ,PZ_1030,EXIT
1690600,ms,PackStation,PZ_1030_765,PZ,PZ_1030,ENTER
1690680,ms,Freezer,PZ_1030_779,PZ,PZ_1030,ENTER
1690770,ms,PackStation,PZ_1030_766,PZ,PZ_1030,ENTER
1690990,ms,Freezer,PZ_1030_769,PZ,PZ_1030,EXIT
1691180,ms,PizzaSource,PZ_1030_786,PZ,PZ_1030,EXIT
1691180,ms,PizzaSource,PZ_1030_787,PZ,PZ_1030,ENTER
1691260,ms,PalletStation,BOX_1030_000058,BOX,BOX_1030,ENTER
1691640,ms,PackStation,PZ_1030_768,PZ,PZ_1030,ENTER
1692150,ms,Oven,PZ_1030_784,PZ,PZ_1030,ENTER
1692590,ms,Oven,PZ_1030_782,PZ,PZ_1030,EXIT
1692640,ms,Freezer,PZ_1030_780,PZ,PZ_1030,ENTER
1692990,ms,Freezer,PZ_1030_770,PZ,PZ_1030,EXIT
1693220,ms,PizzaSource,PZ_1030_787,PZ,PZ_1030,EXIT
1693220,ms,PizzaSource,PZ_1030_788,PZ,PZ_1030,ENTER
1694080,ms,BoxStation,PACK_1030_000181,PACK,PACK_1030,ENTER
1694180,ms,Oven,PZ_1030_786,PZ,PZ_1030,ENTER
1694570,ms,Oven,PZ_1030_784,PZ,PZ_1030,EXIT
1694680,ms,Freezer,PZ_1030_782,PZ,PZ_1030,ENTER
1694960,ms,Freezer,PZ_1030_771,PZ,PZ_1030,EXIT
1695220,ms,PizzaSource,PZ_1030_788,PZ,PZ_1030,EXIT
1695220,ms,PizzaSource,PZ_1030_790,PZ,PZ_1030,ENTER
1696220,ms,Oven,PZ_1030_787,PZ,PZ_1030,ENTER
1696590,ms,Oven,PZ_1030_786,PZ,PZ_1030,EXIT
1696650,ms,Freezer,PZ_1030_784,PZ,PZ_1030,ENTER
1696910,ms,Freezer,PZ_1030_772,PZ,PZ_1030,EXIT
1697240,ms,PizzaSource,PZ_1030_790,PZ,PZ_1030,EXIT
1697240,ms,PizzaSource,PZ_1030_791,PZ,PZ_1030,ENTER
1697340,ms,PackStation,PACK_1030_000182,PACK,PACK_1030,EXIT_AP
1698050,ms,PackStation,PZ_1030_769,PZ,PZ_1030,ENTER
1698170,ms,PackStation,PZ_1030_770,PZ,PZ_1030,ENTER
1698210,ms,Oven,PZ_1030_788,PZ,PZ_1030,ENTER
1698340,ms,PackStation,PZ_1030_771,PZ,PZ_1030,ENTER
1698630,ms,Oven,PZ_1030_787,PZ,PZ_1030,EXIT
1698680,ms,Freezer,PZ_1030_786,PZ,PZ_1030,ENTER
1698930,ms,Freezer,PZ_1030_774,PZ,PZ_1030,EXIT
1699250,ms,PizzaSource,PZ_1030_791,PZ,PZ_1030,EXIT
1699250,ms,PizzaSource,PZ_1030_792,PZ,PZ_1030,ENTER
1699570,ms,PackStation,PZ_1030_772,PZ,PZ_1030,ENTER
1700240,ms,Oven,PZ_1030_790,PZ,PZ_1030,ENTER
1700630,ms,Oven,PZ_1030_788,PZ,PZ_1030,EXIT
1700720,ms,Freezer,PZ_1030_787,PZ,PZ_1030,ENTER
1700940,ms,Freezer,PZ_1030_775,PZ,PZ_1030,EXIT
1701280,ms,PizzaSource,PZ_1030_792,PZ,PZ_1030,EXIT
1701280,ms,PizzaSource,PZ_1030_793,PZ,PZ_1030,ENTER
1701660,ms,BoxStation,PACK_1030_000182,PACK,PACK_1030,ENTER
1702250,ms,Oven,PZ_1030_791,PZ,PZ_1030,ENTER
1702660,ms,Oven,PZ_1030_790,PZ,PZ_1030,EXIT
1702710,ms,Freezer,PZ_1030_788,PZ,PZ_1030,ENTER
1702890,ms,Freezer,PZ_1030_776,PZ,PZ_1030,EXIT
1703260,ms,PizzaSource,PZ_1030_793,PZ,PZ_1030,EXIT
1703260,ms,PizzaSource,PZ_1030_795,PZ,PZ_1030,ENTER
1704280,ms,Oven,PZ_1030_792,PZ,PZ_1030,ENTER
1704670,ms,Oven,PZ_1030_791,PZ,PZ_1030,EXIT
1704740,ms,Freezer,PZ_1030_790,PZ,PZ_1030,ENTER
1704920,ms,Freezer,PZ_1030_778,PZ,PZ_1030,EXIT
1705230,ms,PizzaSource,PZ_1030_795,PZ,PZ_1030,EXIT
1705230,ms,PizzaSource,PZ_1030_796,PZ,PZ_1030,ENTER
1705240,ms,PackStation,PACK_1030_000183,PACK,PACK_1030,EXIT_AP
1705950,ms,PackStation,PZ_1030_774,PZ,PZ_1030,ENTER
1706070,ms,PackStation,PZ_1030_775,PZ,PZ_1030,ENTER
1706240,ms,PackStation,PZ_1030_776,PZ,PZ_1030,ENTER
1706250,ms,Oven,PZ_1030_793,PZ,PZ_1030,ENTER
1706690,ms,Oven,PZ_1030_792,PZ,PZ_1030,EXIT
1706750,ms,Freezer,PZ_1030_791,PZ,PZ_1030,ENTER
1706960,ms,Freezer,PZ_1030_779,PZ,PZ_1030,EXIT
1707230,ms,PizzaSource,PZ_1030_796,PZ,PZ_1030,EXIT
1707230,ms,PizzaSource,PZ_1030_797,PZ,PZ_1030,ENTER
1707580,ms,PackStation,PZ_1030_778,PZ,PZ_1030,ENTER
1708230,ms,Oven,PZ_1030_795,PZ,PZ_1030,ENTER
1708670,ms,Oven,PZ_1030_793,PZ,PZ_1030,EXIT
1708780,ms,Freezer,PZ_1030_792,PZ,PZ_1030,ENTER
1708920,ms,Freezer,PZ_1030_780,PZ,PZ_1030,EXIT
1709210,ms,PizzaSource,PZ_1030_797,PZ,PZ_1030,EXIT
1709210,ms,PizzaSource,PZ_1030_799,PZ,PZ_1030,ENTER
1709630,ms,BoxStation,BOX_1030_000059,BOX,BOX_1030,EXIT_AP
1710230,ms,Oven,PZ_1030_796,PZ,PZ_1030,ENTER
1710460,ms,BoxStation,PACK_1030_000183,PACK,PACK_1030,ENTER
1710650,ms,Oven,PZ_1030_795,PZ,PZ_1030,EXIT
1710750,ms,Freezer,PZ_1030_793,PZ,PZ_1030,ENTER
1710950,ms,Freezer,PZ_1030_782,PZ,PZ_1030,EXIT
1711210,ms,PizzaSource,PZ_1030_799,PZ,PZ_1030,EXIT
1711210,ms,PizzaSource,PZ_1030_801,PZ,PZ_1030,ENTER
1712210,ms,Oven,PZ_1030_797,PZ,PZ_1030,ENTER
1712650,ms,Oven,PZ_1030_796,PZ,PZ_1030,EXIT
1712660,ms,PalletStation,BOX_1030_000059,BOX,BOX_1030,ENTER
1712730,ms,Freezer,PZ_1030_795,PZ,PZ_1030,ENTER
1712930,ms,Freezer,PZ_1030_784,PZ,PZ_1030,EXIT
1713160,ms,PizzaSource,PZ_1030_801,PZ,PZ_1030,EXIT
1713160,ms,PizzaSource,PZ_1030_802,PZ,PZ_1030,ENTER
